UNIVAC I; 0.002; 1951
Intel 4004; 0.092; 1971
IBM System/370 158; 0.64; 1972
Intel 8080; 0.29; 1974
MOS Technology 6502; 0.43; 1975
Intel 8080A; 0.435; 1976
Zilog Z80; 0.58; 1976
Motorola 6809; 0.42; 1977
Motorola 6802; 0.5; 1977
IBM System/370 158-3; 0.73; 1977
VAX-11/780; 1.0; 1977
Fujitsu FACOM 230-75 APU; 2.0; 1977
Intel 8086; 0.33; 1978
Fujitsu MB8843; 2.0; 1978
Intel 8088; 0.75; 1979
Motorola 68000; 1.4; 1979
Zilog Z8001/Z8002; 1.5; 1979
Intel 8035/8039/8048; 6.0; 1980
Fujitsu MB8843/MB8844; 6.0; 1980
Zilog Z80/Z80H; 1.16; 1981
Motorola 6802; 1.79; 1981
Zilog Z8001/Z8002B; 2.5; 1981
MOS Technology 6502; 2.522; 1981
Sega G80 (3 cores); 7.4; 1981
Intel 286; 1.28; 1982
Motorola 68000; 2.188; 1982
Motorola 68010; 2.407; 1982
NEC V20; 4.0; 1982
Namco Pole Position (7 cores); 8.141; 1982
LINKS-1 Computer Graphics System (257 cores); 642.5; 1982
Texas Instruments TMS32010; 5.0; 1983
NEC V30; 5.0; 1983
Motorola 68010; 3.209; 1984
Motorola 68020; 4.848; 1984
Hitachi HD63705; 2.0; 1985
Intel i386DX; 2.15; 1985
Hitachi-Motorola 68HC000; 3.5; 1985
Intel 8751; 8.0; 1985
Sega System 16 (4 cores); 16.33; 1985
ARM2; 4.0; 1986
Texas Instruments TMS34010; 6.0; 1986
NEC V70; 6.6; 1987
Motorola 68030; 9.0; 1987
Gmicro/200; 10.0; 1987
Texas Instruments TMS320C20; 12.5; 1987
Analog Devices ADSP-2100; 12.5; 1987
Texas Instruments TMS320C25; 25.0; 1987
Motorola 68020; 10.0; 1988
Motorola 68030; 18.0; 1988
Namco System 21 (10 cores); 73.927; 1988
Intel i386DX; 4.3; 1989
Intel i486DX; 8.7; 1989
NEC V80; 16.5; 1989
Intel i860; 25.0; 1989
Atari Hard Drivin' (7 cores); 33.573; 1989
NEC SX-3 (4 cores); 680.0; 1989
Motorola 68040; 44.0; 1990
Namco System 21 (GalaxianÂ³) (96 cores); 1660.386; 1990
AMD Am386; 9.0; 1991
Intel i486DX; 11.1; 1991
Intel i860; 50.0; 1991
Intel i486DX2; 25.6; 1992
DEC Alpha 21064 EV4; 86.0; 1992
DEC Alpha 21064 EV4; 135.0; 1993
MIPS R4400; 85.0; 1993
Gmicro/500; 132.0; 1993
IBM-Motorola PowerPC 601; 157.7; 1993
SGI Onyx RealityEngine2 (36 cores); 2640.0; 1993
Namco Magic Edge Hornet Simulator (36 cores); 2880.0; 1993
Fujitsu-NAL Numerical Wind Tunnel (168 cores); 10718.4; 1993
ARM7; 40.0; 1994
Intel DX4; 70.0; 1994
Motorola 68060; 110.0; 1994
Intel Pentium; 188.0; 1994
Microchip PIC16F; 5.0; 1995
IBM-Motorola PowerPC 603e; 188.0; 1995
ARM 7500FE; 35.9; 1996
IBM-Motorola PowerPC 603ev; 423.0; 1996
Intel Pentium Pro; 541.0; 1996
Hitachi SH-4; 360.0; 1997
IBM-Motorola PowerPC 750; 525.0; 1997
Zilog eZ80; 80.0; 1999
Intel Pentium III; 2054.0; 1999
Sega Naomi Multiboard (32 cores); 6400.0; 1999
Freescale MPC8272; 760.0; 2000
AMD Athlon; 3561.0; 2000
Sony-Toshiba Emotion Engine (PS2); 6000.0; 2000
Silicon Recognition ZISC 78; 8600.0; 2000
NEC SX-6 (Single Node, 8 cores); 44208.0; 2001
NEC SX-6 (128 Node, 1024 cores); 5658624.0; 2001
ARM11; 515.0; 2002
NEC Earth Simulator (5120 cores); 28293540.0; 2002
AMD Athlon XP 2500+; 7527.0; 2003
Pentium 4 Extreme Edition; 9726.0; 2003
Microchip PIC10F; 1.0; 2004
ARM Cortex-M3; 125.0; 2004
Nios II; 190.0; 2004
MIPS32 4KEc; 356.0; 2004
VIA C7; 1799.0; 2005
ARM Cortex-A8; 2000.0; 2005
AMD Athlon FX-57; 12000.0; 2005
AMD Athlon 64 3800+ X2 (Dual core); 14564.0; 2005
ARM Cortex-R4; 450.0; 2006
MIPS32 24K; 604.0; 2006
PS3 Cell BE (PPE only); 10240.0; 2006
Xbox360 IBM "Xenon" (Triple core); 19200.0; 2005
AMD Athlon FX-60 (Dual core); 18938.0; 2006
Intel Core 2 Extreme X6800 (Dual core); 27079.0; 2006
Intel Core 2 Extreme QX6700 (Quad core); 49161.0; 2006
MIPS64 20Kc; 1370.0; 2007
P.A. Semi PA6T-1682M; 8800.0; 2007
Qualcomm Scorpion (Cortex A8-like); 2100.0; 2008
Intel Atom N270 (Single core); 3846.0; 2008
Intel Core 2 Extreme QX9770 (Quad core); 59455.0; 2008
Intel Core i7 920 (Quad core); 82300.0; 2008
ARM Cortex-M0; 45.0; 2009
ARM Cortex-A9 (Dual core); 7500.0; 2009
AMD Phenom II X4 940 Black Edition; 42820.0; 2009
Fujitsu SPARC64 VIIIfx; 113471.314; 2009
AMD Phenom II X6 1100T; 78440.0; 2010
Intel Core i7 Extreme Edition 980X (Hex core); 147600.0; 2010
Tianhe-1A (186,368 cores); 2670000000.0; 2010
ARM Cortex A5; 1256.0; 2011
ARM Cortex A7; 2850.0; 2011
Qualcomm Krait (Cortex A15-like, Dual core); 9900.0; 2011
AMD E-350 (Dual core); 10000.0; 2011
Nvidia Tegra 3 (Quad core Cortex-A9); 13800.0; 2011
Samsung Exynos 5250 (Cortex-A15-like Dual core); 14000.0; 2011
Intel Core i5-2500K (Quad core); 83000.0; 2011
Intel Core i7 875K; 92100.0; 2011
AMD FX-8150 (Eight core); 108890.0; 2011
Intel Core i7 2600K; 117160.0; 2011
Intel Core i7 Extreme Edition 3960X (Hex core); 176170.0; 2011
Fujitsu K computer (705,024 cores); 10000000000.0; 2011
AMD FX-8350; 97125.0; 2012
Intel Core i7 3770K; 106924.0; 2012
Intel Core i7 3630QM; 113093.0; 2012
Intel Core i7 4770K; 133740.0; 2013
Intel Core i7 5960X; 238310.0; 2014
Raspberry Pi 2; 1186.0; 2014
